Fecha;pm25;so2;temperatura;humedad;ws;wd;radglobal;ppa
170708;20;14,15;12,74731792;85,90445833;1,541798917;150,040475;76,800125;761,6583333
170709;20;6,24;12,83338792;83,3705375;2,972055292;186,5295833;108,5556667;761,6458333
170710;24;24,48;12,84079292;79,41957083;2,062784667;175,77845;111,0124583;759,3541667
170711;30;23,72;11,78053583;82,15894167;1,277453875;156,4399458;114,590125;757,3
170712;13;3,84;13,600075;79,32252083;2,146266292;76,95289167;54,66454167;759,55
170713;12;0,96;13,60436667;83,26529167;2,121004292;141,9399083;75,7694625;763,1666667
170714;9;1,06;12,37817;73,88862083;2,565633333;183,2062667;99,97241667;762,9458333
170715;12;2,66;9,17228875;72,953625;2,952513333;182,19395;131,248125;765,2
170716;16;1,35;9,536294167;65,4161625;4,392374167;189,9375;128,655375;767,2625
170717;22;13,76;9,723635417;64,45327083;2,320950167;181,0011875;129,6360833;763,1125
170718;33;42,87;11,233505;70,82665417;1,443861792;147,7575829;126,8517917;760,2708333
170719;33;36,85;13,05843792;71,02685417;1,466434458;171,5704496;127,069375;759,2291667
170720;33;31,95;17,00190375;55,450775;2,56525025;154,5118833;121,0852875;757,1791667
170721;15;1,89;13,0042;82,93392917;2,375845;62,27175;47,180625;758,4875
170722;14;5,25;13,52091667;74,0424;2,299596833;58,50580833;24,05241667;760,5458333
170723;17;27,32;13,155935;77,59289167;1,798772417;149,4543467;78,55904167;761,9625
170724;13;2,73;12,74005542;79,51012083;3,918417083;193,31675;135,5970833;761,175
170725;28;40,16;10,13962125;83,2493125;1,186717375;153,5037375;88,39645833;759,6583333
170726;28;37,65;11,0571975;78,23484583;1,770148792;139,2030292;135,2349583;758,7375
170727;25;34,85;9,90334875;82,58494167;1,681138583;142,2391292;123,3927917;759,35
170728;34;56,61;11,19662292;77,6737;3,131199333;173,1031833;131,4407917;760,8125
170729;23;5,11;11,248615;77,03815;3,015365708;186,4882917;104,3637917;760,9208333
170730;23;4,33;10,12622833;79,0259125;1,93228675;180,5710708;134,01175;760,9291667
170731;30;6,71;10,0609475;84,85790417;0,946381492;210,5579958;128,9168333;758,9416667
170801;14;5,54;12,238505;73,9410625;1,50982275;100,1960917;65,29817083;762,2583333
170802;24;18,82;12,57601292;70,57750833;2,284129542;186,3600583;145,8075;762,7291667
170803;32;29,08;11,7344275;76,816225;1,84634675;160,5719167;127,3277083;759,575
170804;20;6,23;12,0891;76,08341667;0,976071763;212,8599458;32,296625;761,2708333
170805;10;5,03;11,9546025;71,10855417;1,348291792;257,6800375;102,5164583;761,95
170806;22;36,77;11,86097625;78,81567083;1,734095958;165,2484083;107,311625;760,7916667
170807;17;17,35;12,4584875;80,2896125;1,605015625;123,9699708;129,9223333;761,6166667
170808;22;44,13;12,48455208;77,505475;1,81818125;190,6598208;143,3609171;758,8833333
170809;11;4,85;12,23111417;83,48925417;2,398502167;104,1058583;65,28183333;758,0625
170810;8;4,45;11,61228333;93,29191667;2,074124083;132,3310917;27,6255875;759,4125
170811;16;3,58;10,43928708;87,39206667;1,735646083;107,5023958;51,86541667;760,9416667
170812;16;21,28;10,11392;77,9066375;2,146277917;166,454025;165,9347917;765,0333333
170813;25;44,69;10,33884;73,3724;1,49968528;130,3801917;71,18366667;765,8958333
170814;15;3,78;12,312655;66,918725;3,47106625;195,249125;173,8880833;762,5416667
170815;18;9,3;12,05891708;81,1441125;2,894937542;190,28775;133,9192917;761,6541667
170816;19;12,9;12,49200292;77,29779167;2,427154167;174,5215292;170,3807917;760,4583333
170817;20;28,49;11,86997458;82,6480625;2,228102625;161,4435708;158,3644583;760,0458333
170818;8;2,99;11,51411;86,41739583;1,716966625;186,1101875;64,19387458;760,7708333
170819;14;1,4;13,78282083;78,10147083;3,691291292;204,1375417;163,978375;763,9416667
170820;16;19,57;14,02909208;68,97214583;2,838445375;188,1689083;187,9407917;761,4625
170821;21;21,46;12,66553583;70,8079625;2,144905375;174,8719917;179,0170421;756,9541667
170822;9;0,85;12,49079583;81,17430417;2,149188917;161,0153542;42,76558333;759,6541667
170823;9;2,2;12,32639167;85,53004583;2,008710667;202,7578458;113,0446667;760,4125
170824;12;9,17;12,34257375;69,07267083;1,591582625;197,4046833;164,393625;759,0958333
170825;19;44,9;11,42137875;79,9201875;1,941781125;142,1503042;182,9807083;761,55
170826;13;6,19;11,684395;83,13090417;1,966417667;196,2560375;145,1509171;761,4333333
170827;11;17,69;12,93314125;79,69042083;1,848259458;234,8580917;180,599125;760,7583333
170828;20;28,8;10,31151208;85,2577625;1,929035333;130,297325;90,21095833;761,425
170829;7;2,26;12,63838292;68,50242083;3,930869875;184,3334958;209,8032917;764,4208333
170830;19;40,19;11,8254625;73,39499583;2,342689917;150,8063917;210,9735;760,4416667
170831;15;40,9;10,96568625;83,29365417;1,6291765;181,1409458;166,5257083;758,9041667
170901;8;1,07;13,17367917;72,39455833;1,751830042;250,5489;157,6445417;761,125
170902;12;15,36;12,70414667;75,68349583;3,1121735;197,24805;207,0442917;761,2125
170903;11;4,33;12,679485;69,061475;3,751567458;193,66665;196,1625;763,9625
170904;11;6,17;13,09011958;65,53055833;3,785309167;180,0769375;219,5483333;764,4708333
170905;18;20,57;12,4454225;67,03977083;3,119205125;190,6111667;160,358375;760,2333333
170906;9;10,02;12,13922458;71,12935417;2,907509958;168,9655417;216,2424167;760,1416667
170907;16;25,12;11,37767917;80,61344583;2,553235333;173,5304967;102,7832083;760,4666667
170908;9;2,66;12,77847917;67,11152083;3,07115;177,51845;115,2317083;760,1166667
170909;19;4,88;12,29143333;74,96565833;1,914971917;183,9683;99,03158333;759,3333333
170910;14;3,55;12,05458708;75,48100833;2,263564542;200,4112521;189,272375;764,9041667
170911;16;8,79;11,49342417;73,7840125;2,92430225;164,8061958;166,7118333;759,9875
170912;8;4,03;12,98420833;76,41009583;1,765999042;160,8798454;173,4916667;761,9791667
170913;10;3,98;13,43955;75,9208875;1,414183217;171,9320667;209,6356667;765,0208333
170914;8;4,3;12,82120083;72,94813333;5,00117625;191,2411667;214,88925;764,8833333
170915;17;11,11;14,49025167;67,32570417;3,540963792;181,8609792;235,974375;761,3833333
170916;25;24,56;12,96207958;74,44215833;1,3783465;161,847425;236,8793375;757,575
170917;18;7,09;11,84301875;89,75149167;1,28910025;126,2373446;60,33966667;758,5083333
170918;19;4,73;12,53989583;88,40580833;1,65095875;161,7865417;65,79183333;757,9583333
170919;12;4,37;14,32315417;69,964525;1,695237292;93,35934583;198,000625;761,8333333
170920;2;3,58;14,31437167;69,78175;4,701007083;184,056875;161,064125;763,6041667
170921;12;13,44;14,44044958;69,5019;4,477593583;184,3931042;164,0338333;761,5916667
170922;15;11,25;15,26407917;68,58509583;3,228803458;187,365775;165,8822542;758,7583333
170923;13;7,73;12,01692292;86,56345417;1,751604083;187,43465;84,19225417;757,8583333
170924;9;5,69;13,71272083;76,08907083;3,10373825;198,0251625;142,229875;761,1375
170925;15;13,62;3,291174583;30,42496667;3,737246667;184,2786;179,9591667;760,0583333
170926;19;9;0,875229167;1,976083333;3,258305833;202,4758917;179,2774583;757,9833333
170927;17;6,32;8,4583;52,4284125;1,289438667;148,7296375;143,537;757,1125
170928;14;6,74;13,28792917;84,1117375;1,194975208;223,4499662;86,81929167;758,8541667
170929;17;11,06;12,95679167;86,44853333;1,350739917;158,1114708;166,677625;759,8666667
170930;8;3,81;16,831;90,26830833;1,914986792;143,3122042;57,497125;758,7166667
171001;9;3,02;23,19765;73,3977125;4,69823625;196,8417083;263,5640833;761,325
171002;12;8,41;18,66541667;74,77085417;3,101976708;185,6060625;238,6015;761,4416667
171003;10;5,25;13,65048833;82,13605;1,742493554;184,760635;234,860375;759,8416667
171004;8;8,68;13,55613333;86,840475;1,754705;95,54258333;154,716125;758,5416667
171005;11;3,39;13,44140417;80,1681375;2,548333167;178,4792208;231,7967917;761,7166667
171006;17;10,92;15,06618542;71,84436667;3,045460525;160,665075;276,8305;758,6416667
171007;7;2,91;12,75425;88,87455;1,908113708;226,47145;77,502;761,3041667
171008;11;2,92;14,24462;69,87144583;4,376934208;205,4004167;278,3502083;762,1333333
171009;12;2,95;14,35234292;72,31322083;5,024765;203,5626667;272,4375;759,4958333
171010;12;12,36;13,27499042;65,02362083;4,762973708;197,8463125;284,2122917;760,1083333
171011;12;23,83;10,49078375;71,42819167;2,94963075;200,4477875;203,4726667;760,7125
171012;14;8,3;13,33175833;66,12629167;3,2119315;179,701875;270,8530833;762,6666667
171013;20;34,68;13,36636583;75,67879583;2,647175379;180,654675;288,7705;761,5041667
171014;15;6,27;12,081035;88,70164583;1,6007975;133,7722217;188,6365833;757,0375
171015;18;12,61;13,48364583;80,22537083;1,933677417;135,6482875;200,4847917;755,8625
171016;12;20,2;13,54220417;80,73382083;1,517070958;119,4016167;126,8525833;758,9875
