Fecha;pm25;so2;ws;wd
170502;18;5,63;1,53870375;166,1576583
170503;17;6,2;1,506342375;152,7095417
170504;12;3,81;0,554821083;137,5258875
170505;21;8,35;0,5528705;102,1436625
170506;11;1,77;2,7901315;116,1149208
170507;5;1,85;1,032265542;122,1659267
170508;7;2,82;1,554557292;154,4641125
170509;13;4,5;0,432305375;140,2448333
170510;8;1,8;1,315526579;104,5362458
170511;4;1,59;3,361163333;64,12258333
170512;6;2,74;0,968981792;145,2827375
170513;7;3,04;0,865131625;134,4879083
170514;9;6,86;1,130992042;161,8807833
170515;11;5,98;1,2349708;182,19415
170516;11;3,01;0,696869667;183,0511542
170517;7;2,05;1,551417875;135,43295
170518;7;2,78;1,797846708;164,3609125
170519;14;10,67;1,942368125;169,6513667
170520;17;14,67;1,437996917;131,5630917
170521;20;14,49;1,376558074;144,5222208
170522;18;6,69;0,734467542;105,2508103
170523;21;6,2;0,664083667;166,7621042
170524;24;10,34;0,540528033;165,4230417
170525;;5,16;1,48831225;114,1889054
170526;22;4,58;1,322652625;145,698875
170527;23;6,55;1,601045042;134,2206879
170528;19;6,42;1,436149321;129,270425
170529;17;4,87;1,193124458;160,5619946
170530;33;5,58;1,575031925;136,3743067
170531;33;8,87;1,175679142;137,7105025
170601;24;6,9;1,118785333;138,6803463
170602;29;10,15;1,332046958;136,3859208
170603;20;8,57;1,654568417;176,9475
170604;16;7,7;1,580767542;155,5919125
170605;16;7,21;1,605882958;140,924325
170606;32;6,49;1,495933083;120,8181125
170607;36;4,14;1,565382958;75,50236667
170608;11;6,64;1,702441042;172,5392167
170609;19;12,07;1,208925292;163,0121175
170610;;9,47;1,34878875;145,900325
170611;;3,95;1,045300208;100,8640996
170612;;5,95;0,680451046;126,0432208
170613;16;2,3;1,416962;104,3211038
170614;14;2,66;1,849934083;70,01980417
170615;6;1,92;2,779736583;65,20157083
170616;6;2,05;4,132717292;126,8236333
170617;10;15,6;2,5355485;177,899
170618;14;23,57;2,007108758;201,5091333
170619;13;12,58;1,013545763;133,3908054
170620;17;7,98;1,424033583;110,020975
170621;10;2,05;2,454884;114,1442708
170622;7;1,89;1,928966125;123,3060458
170623;14;6,67;0,671498167;168,5655029
170624;8;2,52;2,873140246;131,5743583
170625;7;2,08;3,69908875;125,0594042
170626;4;2,19;2,0479785;64,61769625
170627;8;4,22;1,644202971;142,1010875
170628;11;5,41;1,397691792;156,8143375
170629;20;12,65;1,079611292;166,7872288
170630;20;16,26;1,03063275;160,7930625
170701;14;4,12;0,908421208;101,0940292
170702;13;2,22;0,605612042;128,7935563
170703;7;2;1,228529042;63,9780875
170704;9;3,45;1,584793292;144,428775
170705;24;6,24;0,597964254;113,3724733
170706;18;10,36;0,908750692;134,780695
170707;23;11,27;1,530676083;150,1662917
170708;18;5,51;1,05713225;145,6508792
170709;23;8,42;1,219738333;143,0136583
170710;21;8,15;1,047243625;154,6432996
170711;27;5,87;0,940293996;110,9234917
170712;15;2,39;1,334392958;93,91590417
170713;12;5,47;1,493960125;136,7574958
170714;11;9,43;1,79985425;161,1483125
170715;13;4,67;2,142014042;164,23295
170716;19;28,51;2,159695042;181,6408333
170717;24;10,37;1,536081083;153,6519542
170718;30;9,4;1,240311958;128,3059667
170719;33;7,66;1,121111625;122,0591917
170720;28;8,47;1,48437775;138,3347333
170721;16;2,33;1,741593417;78,01234583
170722;14;2,15;1,476934083;57,54900417
170723;13;3,75;1,0706645;144,3388833
170724;18;13,66;1,2680457;187,8580458
170725;36;5,06;0,396632904;125,4239375
170726;33;7,86;1,025737208;124,5776458
170727;25;16,67;0,900437958;135,6796583
170728;27;10,7;1,48136475;158,5489042
170729;31;10,95;1,280758;146,4475
170730;27;10,65;1,279841167;146,1566792
170731;28;4,76;0,683686583;148,0068
170801;13;2,97;1,185406417;100,1798417
170802;30;18,69;1,495838;181,2857333
170803;25;3,9;1,789363083;121,3871645
170804;18;8,1;0,657798875;152,8218613
170805;13;3,26;0,802430513;205,786345
170806;24;9,28;1,189213542;157,131855
170807;13;5,33;0,993952292;150,153025
170808;24;11,12;0,925363042;166,5976792
170809;9;2,65;2,368479542;113,1975792
170810;4;2,22;1,653245333;116,8357125
170811;10;3,65;0,613521863;120,0148
170812;16;3,69;1,664131963;154,0209875
170813;25;5,38;0,646991417;136,33185
170814;28;10,69;1,502756583;182,2334417
170815;18;9,58;1,37369245;132,4367163
170816;21;6,87;1,327548917;171,4153258
170817;14;8,42;1,182597625;162,0430292
170818;11;5,26;0,962829717;216,9190167
170819;10;7,43;1,983223333;199,2445833
170820;16;10,25;1,269228917;173,3755667
